window,regime,n,mean_conf,median_conf,mean_entropy
Window1_2000s,bear,543,0.5850955037119497,0.5676574473888933,0.9194377914256112
Window1_2000s,neutral,1454,0.61354540350923,0.6053501795968133,0.8085189078448044
Window1_2000s,bull,518,0.5794251798636815,0.5959890588249979,0.866891083064272
Window3_2020s,bear,21,0.7277198261933868,0.7228660641745611,0.7730824227557072
Window3_2020s,neutral,462,0.6392359365944588,0.6542251406312902,0.7962647883695563
Window3_2020s,bull,1064,0.690812003980972,0.6902946752634616,0.691299782747315
