definition,window,n_bear,n_quiet,pct_quiet,w_diff,p_value,bl_dd,ens_dd,delta_dd
NBER,Window1_2000s,543,272,50.09208103130756,0.07343555547601462,7.09239110438852e-77,-0.004689123661706297,-0.008335397523051293,-0.0036462738613449956
Drawdown>15%,Window1_2000s,1762,881,50.0,0.06474237216388055,0.0,-0.0015677855189317746,-0.0026622659033554066,-0.001094480384423632
Vol>P90,Window1_2000s,252,126,50.0,0.027111397494109027,1.402782096923144e-35,-0.002094625652974098,-0.00408246853042952,-0.001987842877455422
Pagan-Sossounov,Window1_2000s,2366,1183,50.0,0.0775899600342617,0.0,-0.002124587322348274,-0.0035823464260489463,-0.001457759103700672
NBER,Window3_2020s,21,11,52.38095238095239,0.026298469179393102,2.1370937609346074e-18,0.0,-0.0003192977957570019,-0.0003192977957570019
Drawdown>15%,Window3_2020s,230,115,50.0,0.020391072044743625,4.601770270582064e-40,-0.0005680500712737923,-0.001023989951441538,-0.0004559398801677458
Vol>P90,Window3_2020s,155,78,50.32258064516129,0.023629246699499205,1.0487642918350173e-13,-0.0004633705945497755,-0.0012195137519532885,-0.0007561431574035129
Pagan-Sossounov,Window3_2020s,728,364,50.0,0.03254192488888438,5.216431279052829e-98,-0.0025630774935957532,-0.003916948351839875,-0.0013538708582441217
