condition,vol_spec,gate,window,sharpe,baseline_sharpe,delta_sharpe,max_dd,baseline_max_dd,delta_max_dd,cagr
A_baseline,ewma_vix,False,Window1_2000s,0.6877598782664187,1.2992422264286352,-0.6114823481622165,-0.12077545403792611,-0.06023401606776524,-0.06054143797016087,0.023174311673595627
A_baseline,ewma_vix,False,Window3_2020s,1.6335218025728186,2.1563244207704977,-0.522802618197679,-0.042899027146473534,-0.0256597287381779,-0.017239298408295634,0.037593287243231854
B_gate_only,ewma_vix,True,Window1_2000s,0.6921675526681378,1.2992422264286352,-0.6070746737604974,-0.12027480600978835,-0.06023401606776524,-0.06004078994202311,0.02329927719203173
B_gate_only,ewma_vix,True,Window3_2020s,1.6397678347998814,2.1563244207704977,-0.5165565859706163,-0.04288251630565565,-0.0256597287381779,-0.01722278756747775,0.037372954999801866
C_gjrgarch_only,gjr_garch,False,Window1_2000s,1.0534093154227586,1.4561861325451648,-0.4027768171224062,-0.07243323341254437,-0.05047630619812127,-0.021956927214423105,0.02678111368209568
C_gjrgarch_only,gjr_garch,False,Window3_2020s,1.6779468343079995,2.3771072749153785,-0.699160440607379,-0.04094287973827304,-0.02123238912925529,-0.01971049060901775,0.03638263211294168
D_gate_gjrgarch,gjr_garch,True,Window1_2000s,1.0687814603677837,1.4561861325451648,-0.38740467217738117,-0.07152935733090904,-0.05047630619812127,-0.02105305113278777,0.027112336188325203
D_gate_gjrgarch,gjr_garch,True,Window3_2020s,1.6874414265181905,2.3771072749153785,-0.689665848397188,-0.04092482138280151,-0.02123238912925529,-0.01969243225354622,0.03622250412231276
