label_scheme,window,sharpe,delta_sharpe,max_dd,macro_f1
nber,Window1_2000s,0.6877598782664187,-0.6114823481622165,-0.12077545403792611,0.3812652144367928
nber,Window2_2010s,0.7156172801582001,-0.037611457788820135,-0.13117579626964826,0.31175298496131093
nber,Window3_2020s,1.6335218025728186,-0.522802618197679,-0.042899027146473534,0.33331634592888265
drawdown,Window1_2000s,0.6335704606616287,-0.6656717657670065,-0.1328505789964185,0.26913154102094194
drawdown,Window2_2010s,0.7380047897963854,-0.01522394815063488,-0.12790022742571938,0.4856116835683837
drawdown,Window3_2020s,1.6123120177982133,-0.5440124029722844,-0.04278127831231526,0.4662500561836181
