window,tc_bps,ens_sharpe,base_sharpe,delta_sharpe
Window1_2000s,1,-0.03238193349571399,-0.04563596320397112,0.013254029708257127
Window1_2000s,2,-0.03309258089142843,-0.04635492968838118,0.013262348796952754
Window1_2000s,5,-0.03522452246691422,-0.04851182845407648,0.013287305987162261
Window1_2000s,10,-0.03877775631955563,-0.05210665734512223,0.013328901025566602
Window1_2000s,20,-0.045884215618132794,-0.059296305483061224,0.01341208986492843
Window2_2010s,1,0.6700605841735174,0.6586304036686179,0.011430180504899523
Window2_2010s,2,0.6696521501684501,0.6582160012712696,0.011436148897180587
Window2_2010s,5,0.6684268453320108,0.6569727918399167,0.011454053492094052
Window2_2010s,10,0.6663846612086635,0.6549007686669843,0.011483892541679142
Window2_2010s,20,0.6623002577884854,0.6507566944462276,0.011543563342257812
Window3_2020s,1,0.6033715453474096,0.5085644337792932,0.09480711156811639
Window3_2020s,2,0.6024745068398925,0.5076297138196275,0.09484479302026494
Window3_2020s,5,0.5997833798567302,0.5048255360377528,0.09495784381897743
Window3_2020s,10,0.5952981301737498,0.5001518468905439,0.09514628328320585
Window3_2020s,20,0.5863274893238878,0.490804246672205,0.09552324265168277
