ticker,window,vol_spec,n_bear_days,n_quiet_bear,pct_quiet,mean_w_diff_quiet,mean_w_diff_all,t_stat,p_value,mean_dd_base_20d,mean_dd_ens_20d,dd_diff_20d
^GSPC,Window2_2010s,ewma_vix,521,261,50.09596928982726,-0.01759057855704124,-0.024354453431436895,-15.742464272073992,1.1266346805348284e-39,-0.0005116421924539444,-0.0009730615873915079,0.0004614193949375636
^GSPC,Window3_2020s,ewma_vix,230,115,50.0,-0.03146005517822551,-0.02891142594324737,-40.36488124959856,2.354986692756412e-69,-0.0006260458334762935,-0.0014971339252352702,0.0008710880917589767
^GSPC,Window1_2000s,ewma_vix,1752,876,50.0,-0.0702978700374869,-0.05852708450258904,-82.52374261906039,0.0,-0.001637335174844623,-0.002881822925575267,0.0012444877507306442
